,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_foryou,hash_foryoupage,hash_funny,hash_fyp,hash_fypシ,hash_ireland,hash_irish,hash_johnnydepp,hash_stitch,hash_viral
3,GR,7098365208153935110,1652716942,There’s always that one guy in the gym 🇬🇷💪#reaction #reactions #gym,6751923955352962054,Evgen Sein,"🏆Guinness World Record Holder
🆘Βοήθεια για την Αγγέλα 👇",0,False,https://www.tiktok.com/@slidismode/video/7098365208153935110?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098365208153935110&source=h5_m,46486690,27919,54576,48952,3952133,6755976952189814785,6755976952189814785,10033,6755976952189814785,Look At Me!,XXXTENTACION,,,False,True,https://sf77-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/16059302aae2485e9e13075279588085,https://sf77-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/337437939647491b8cb3dce95b4a4b7d,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1208724643', 'external_song_key': 'apple_song_id'}]",0,0,Ireland,#reaction #reactions #gym,0,0,0,0,0,0,0,0,0,0
4,US,7099916916021529902,1653078226,#greenscreen #katespadenycabana #scary #dancewiththedevil #TopGunMode￼ #horror #xyzbca #scarychallenge #horrortok #devilstango,6941156046099923973,Horrorfantasies,Horro Acc For Scary Challenges you scare easily? MY YT is terrifying 👇🏽😱,0,False,https://www.tiktok.com/@lante_scary_lives/video/7099916916021529902?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099916916021529902&source=h5_m,3319772,4909,1537,319,302507,6794823803747797765,6794823803747797765,72,6794823803747797765,Tiptoe Through The Tulips (Contains music from: Cannibalistic Hunter - Live - Maggot Erotica),"Contains music from: ""Cannibalistic Hunter - Live""",6.768024946489705e+18,Sterling Fournier,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1658892430563334.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/5b1c08214a081ea5412d283274d5b961.json,False,False,Maggot Erotica,Cannibalistic Hunter - Live,Tiptoe Through The Tulips (Contains music from: Cannibalistic Hunter - Live - Maggot Erotica),"Contains music from: ""Cannibalistic Hunter - Live""",[],0,0,Ireland,#greenscreen #katespadenycabana #scary #dancewiththedevil #TopGunMode￼ #horror #xyzbca #scarychallenge #horrortok #devilstango,0,0,0,0,0,0,0,0,0,0
5,US,7099885944681090305,1653071015,i lost at the end 😳 #fyp #fakebody,6724715071983354886,Natalie Reynolds,"Link in ig bio 💗🌶
18",0,False,https://www.tiktok.com/@nataliereynoldsx/video/7099885944681090305?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099885944681090305&source=h5_m,10504279,8027,3443,63,819647,7083655456534842158,7083655456534842158,72,7083655456534842158,original sound - djprecise,DJ Precise,6.780923368507868e+18,DJ Precise,False,True,https://sf77-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7083655483805977386.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/55e867230ec0554fc77c07d516e8ff11.json,False,False,,,,,[],0,0,Ireland,#fyp #fakebody,0,0,0,1,0,0,0,0,0,0
0,GB,7101067342188268806,1653346082,#johnnydepp #foryoupageviralシ゚ #xyzcba #fypシ゚viral #blowthisup #foryou #4upage #johnnydeppisinnocent,6977456740384850950,The.secret.ginger,ASMR/FUNNY VIDEOS  🧼,0,False,https://m.tiktok.com/v/7101067342188268806.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101067342188268806&source=h5_m,2286790,1191,1990,1834,386754,6728562975734515713,6728562975734515713,10036,6728562975734515713,Love You So,The King Khan & BBQ Show,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6a790bec1bf640c185753440ca131a7e,https://sf77-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/e9e77e939b244f8094dfea801e7683b0,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '297284611', 'external_song_key': 'apple_song_id'}]",0,0,Ireland,#johnnydepp #foryoupageviralシ゚ #xyzcba #fypシ゚viral #blowthisup #foryou #4upage #johnnydeppisinnocent,1,0,0,0,1,0,0,1,0,1
1,GB,7100644138273754374,1653247547,We’re all Real Madrid right?,6988055780500210693,Elle Brooke 🤍,⬇️ GETTING SWEATY WITH SIMPLE SIMON ⬇️,0,False,https://m.tiktok.com/v/7100644138273754374.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100644138273754374&source=h5_m,3601957,6123,1756,2933,279096,7076062511933901573,7076062511933901573,72,7076062511933901573,Sweet Giirrrrllll face beat x Father Philis (Contains music from: Face Beat - Father Philis),"Contains music from: ""Face Beat""",6.808628320147654e+18,Phil,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7076062516677364486.mp3,https://sf77-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/502e849a96f04fa9417d1c14e78c983d.json,False,False,Father Philis,Face Beat,Sweet Giirrrrllll face beat x Father Philis (Contains music from: Face Beat - Father Philis),"Contains music from: ""Face Beat""",[],0,0,Ireland,,0,0,0,0,0,0,0,0,0,0
2,GB,7100177329166519557,1653138860,🤦‍♀️🤦‍♀️,7734302,mrodder ,"<3

Instagram - maisierodford",0,False,https://m.tiktok.com/v/7100177329166519557.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100177329166519557&source=h5_m,6511522,8969,34629,47292,1710298,7085845215721835270,7085845215721835270,72,7085845215721835270,original sound - .angel.4u,ANGEL,7.009721864471037e+18,ANGEL,False,True,https://sf77-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7085845221182835462.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/b3fcf319b74c15e883c5740e5d4b7c5c.json,False,False,,,,,[],0,0,Ireland,,0,0,0,0,0,0,0,0,0,0
3,GB,7098734283342220550,1652802874,Part 5 🌟 #ukschools #uk #spanish #uk #spain #fyp #viral #funny #year7,6933113445618861061,Uk finest,"🇬🇧 Follow for more Uk related content 🇬🇧
   All credits to ITV and channel 4",0,False,https://m.tiktok.com/v/7098734283342220550.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098734283342220550&source=h5_m,4917638,5520,2330,3553,598730,7081404214387148802,7081404214387148802,10033,7081404214387148802,As It Was,Harry Styles,,,False,True,https://sf77-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/e699783897654046896f169cb2309b7e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/616d44d29c8948ee81c935f5ad1ae371,False,True,,,,,[],0,0,Ireland,#ukschools #uk #spanish #uk #spain #fyp #viral #funny #year7,0,0,1,1,0,0,0,0,0,1
4,US,7101421335355706670,1653428501,"Alright ladies, girls trip to Miami here we come then #miami #travel",6802067124573111302,Cait,They don’t boo nobody’s,0,False,https://m.tiktok.com/v/7101421335355706670.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101421335355706670&source=h5_m,1863380,289,84,179,39738,7076186213304109829,7076186213304109829,72,7076186213304109829,original sound - mateofurtado_ (Contains music from: Pibes - Original Mix - DJ Low Low),"Contains music from: ""Pibes - Original Mix""",6.751748087369582e+18,Mateo Furtado,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7076186223618116357.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/7451b5a7d8a72fba85d2247393777c33.json,False,False,DJ Low Low,Pibes - Original Mix,original sound - mateofurtado_ (Contains music from: Pibes - Original Mix - DJ Low Low),"Contains music from: ""Pibes - Original Mix""",[],0,0,Ireland,#miami #travel,0,0,0,0,0,0,0,0,0,0
5,GB,7096874323482316037,1652369819,#duet with @instantenglish I BLOODY POFESSIONAL! 🙏 Please can you help me with my 'gofundme' ❤️ Link in profile 🥰 #comedy #hilarious #humour #funny #learnenglish #trends #viral #fyf,6896958533520081921,Shumirun Nessa,"📧 shumirun@devvmedia.com 📧
⬇️ Click the link below to donate ⬇️",0,False,https://m.tiktok.com/v/7096874323482316037.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096874323482316037&source=h5_m,12435981,4076,40346,15396,506813,7093843330378779398,7093843330378779398,72,7093843330378779398,original sound - instantenglish,Instant English,6.823967602815223e+18,Instant English,False,True,https://sf77-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7093843321642126085.mp3,https://sf77-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/16caa8413e1ca0e1730e7409f102ef56.json,False,False,,,,,[],0,0,Ireland,#duet #comedy #hilarious #humour #funny #learnenglish #trends #viral #fyf,0,0,1,0,0,0,0,0,0,1
6,AU,7103512195086011650,1653915318,Last one tho…😁 #fyp #foryou,7045169065576399873,Jack stone,"Hi
Snap - jackksstone",0,False,https://m.tiktok.com/v/7103512195086011650.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103512195086011650&source=h5_m,527354,495,505,6325,56478,235918692176371712,235918692176371712,71,235918692176371712,Running Up That Hill (A Deal With God),Kate Bush,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6d335ac102544a6ab353728b2469dbd4,https://sf77-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/5c4605b0da674d2e8174df1c5117cfa2,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '901279255', 'external_song_key': 'apple_song_id'}]",0,0,Ireland,#fyp #foryou,1,0,0,1,0,0,0,0,0,0
7,GB,7103124932992716037,1653825152,funniest night ever😭😭😭😭 #HolidayModeActivated #fyp #trending #boys,68039172334227456,Megan🤍,just for the shits and gigs x,0,False,https://m.tiktok.com/v/7103124932992716037.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103124932992716037&source=h5_m,2327714,5404,6485,4789,242008,6843800220623439874,6843800220623439874,10033,6843800220623439874,450,Bad Boy Chiller Crew,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/970f6cef96cb4e4bb1794eca2ca7dbfd,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/4417d3dd7ecd4cb8bbdc9c4950e78309,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1521357528', 'external_song_key': 'apple_song_id'}]",0,0,Ireland,#HolidayModeActivated #fyp #trending #boys,0,0,0,1,0,0,0,0,0,0
0,US,7099614096764701998,1653007720,@Bryce Hall approved this message.,21417653,Tabs,"u can call me tabs 
@hypehousela
check out my insta :)",0,False,https://www.tiktok.com/@tabithaswatosh/video/7099614096764701998?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099614096764701998&source=h5_m,9534964,2803,589,2331,1363198,6973113184248941318,6973113184248941318,72,6973113184248941318,original sound - koreybeaver,Korey Beaver,6.760111455196628e+18,Korey Beaver,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6973113331372870406.mp3,https://sf77-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/d948ffda47b926252dabbc29fb760fb1.json,False,False,,,,,[],0,0,Ireland,,0,0,0,0,0,0,0,0,0,0
1,NZ,7101938894605749506,1653549006,#stitch with @hiemilyelizabeth #fyp #foryou #islander #poly,6640196379657060358,uce_gang,,0,False,https://www.tiktok.com/@uce_gang6/video/7101938894605749506?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101938894605749506&source=h5_m,2555080,2719,10576,13346,355048,6798329661525854210,6798329661525854210,10033,6798329661525854210,ily (i love you baby),Surf Mesa,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/c7ef9597edf34be99f941b3fc30057a6,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/7b32ae69d85a442cb8b07949ac4fc499,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1500359571', 'external_song_key': 'apple_song_id'}]",0,0,Ireland,#stitch #fyp #foryou #islander #poly,1,0,0,1,0,0,0,0,1,0
2,GB,7100557781656227077,1653227440,part 2🤣 I had to #xyzbca #trending #viral #fyp #fypシ #fypage #funny #trend #amberheard #johnnydepp,6949237253173969926,xxchlomae_,▷ opened • 3d,0,False,https://www.tiktok.com/@xxchlomae_/video/7100557781656227077?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100557781656227077&source=h5_m,7405786,5333,13670,10979,1086886,7086264752310684421,7086264752310684421,72,7086264752310684421,"original sound - otp_control (Contains music from: Bwoii Affi"" Watch Eh Style - 1Biggs Don)","Contains music from: ""Bwoii Affi"" Watch Eh Style""",6.893700174443906e+18,OTP Control,False,True,https://sf77-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7086264749293619974.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/614543879cadfc6e569b382661515aca.json,False,False,1Biggs Don,"Bwoii Affi"" Watch Eh Style","original sound - otp_control (Contains music from: Bwoii Affi"" Watch Eh Style - 1Biggs Don)","Contains music from: ""Bwoii Affi"" Watch Eh Style""",[],0,0,Ireland,#xyzbca #trending #viral #fyp #fypシ #fypage #funny #trend #amberheard #johnnydepp,0,0,1,1,1,0,0,1,0,1
3,IE,7093550554814696710,1651595943,Excuse how ☠️ I look #fyp,13661854,JAKUB,"Irish☘️
Own-wee-flans in my insta bio👀👆🏻
You do you, I’ll do me😘",0,False,https://www.tiktok.com/@itz_jacob_33/video/7093550554814696710?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093550554814696710&source=h5_m,202205,77,11,21,19565,7078042093570198318,7078042093570198318,72,7078042093570198318,Hug me Pharrell Williams (Contains music from: Hug Me - Pharrell Williams & Trey Parker),"Contains music from: ""Hug Me""",7.063865924658808e+18,I love my dog,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7078042123601218347.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/a0559d4e2fed43f6718661f3b51896ef.json,False,False,Pharrell Williams & Trey Parker,Hug Me,Hug me Pharrell Williams (Contains music from: Hug Me - Pharrell Williams & Trey Parker),"Contains music from: ""Hug Me""",[],0,0,Ireland,#fyp,0,0,0,1,0,0,0,0,0,0
4,DE,7082813244221443333,1649095967,#Memes #funnyvideos #foryou,6978587718997918726,Meme Fanpage,"Fanpage 
not my memes
📧thefunmaster3000@outlook.de
Mail -> Credits/Removal",0,False,https://www.tiktok.com/@thefunmaster3000/video/7082813244221443333?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7082813244221443333&source=h5_m,10508261,21047,22255,101,1711846,7082813221408738054,7082813221408738054,72,7082813221408738054,original sound - thefunmaster3000,Meme Fanpage,6.978587718997919e+18,Meme Fanpage,False,True,https://sf77-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7082813226442214150.mp3,https://sf77-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/f4de36b19d69a12b85f3c2f952b7fc88.json,False,False,,,,,[],0,0,Ireland,#Memes #funnyvideos #foryou,1,0,0,0,0,0,0,0,0,0
5,GB,7102128512294800646,1653593155,iPhone hack you didn’t know #1 #iphonehacks #iphonehacksyouneedtoknow #iphonetricks #iphonetips #socialmediatips #socialmediatricks #socialmediatipsandtricks #marketing #digitalmarketingtips #photography #fyp #fypシ #instagramtips #socialmediahacks #scenery #photographtips #marketing #marketingnotiktok,6771153175908205573,Motto Marketing,"FREE Marketing Tips

Instagram: motto_marketing",0,False,https://www.tiktok.com/@mottomarketing/video/7102128512294800646?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102128512294800646&source=h5_m,613151,166,2687,6088,34980,7075729123557100294,7075729123557100294,10036,7075729123557100294,Jiggle Jiggle,Duke & Jones & Louis Theroux,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/84fc699b425e4f8f8468af75e7906d7f,https://sf77-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/53d5df68e49f406d83b5031f70853539,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1623742151', 'external_song_key': 'apple_song_id'}]",0,0,Ireland,#1 #iphonehacks #iphonehacksyouneedtoknow #iphonetricks #iphonetips #socialmediatips #socialmediatricks #socialmediatipsandtricks #marketing #digitalmarketingtips #photography #fyp #fypシ #instagramtips #socialmediahacks #scenery #photographtips #marketing #marketingnotiktok,0,0,0,1,1,0,0,0,0,0
6,IE,7102110200106339590,1653588891,Update video for the people who need to catch up! #fromscratch #fromscratchbakery #FoodTok #baking #conversion #foodtruck #irish,7089919103213732870,From Scratch Bakery,"- 🇮🇪 - 18 -
currently renovating a vintage horsebox into a bakery business",0,False,https://www.tiktok.com/@fromscratchbaker/video/7102110200106339590?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102110200106339590&source=h5_m,2606971,1100,303,343,293548,6722656094272883458,6722656094272883458,25,6722656094272883458,She Share Story (for Vlog),山口夕依,6.647470909311959e+18,,True,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/829b4c8a915947b6b922214c6608832c,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/a18e9d70dbb048a9a4cf982292ee5134,True,True,,,,,[],0,0,Ireland,#fromscratch #fromscratchbakery #FoodTok #baking #conversion #foodtruck #irish,0,0,0,0,0,0,1,0,0,0
7,IE,7103420246391868678,1653893915,Coke Zero and fatloss #cokezero #fatloss,6815215879372407813,Evan Daly_dailyfitness,"Online coaching ✅
⬇️Apply for Online Coaching ⬇️",0,False,https://www.tiktok.com/@evandaly_onlinecoach/video/7103420246391868678?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103420246391868678&source=h5_m,891545,605,360,453,56137,7082132495231863557,7082132495231863557,72,7082132495231863557,original sound - charilefilms (Contains music from: XO TOUR Llif3 (Originally Performed by Lil Uzi Vert) [Karaoke Instrumental Version] - Hit The Button Karaoke),"Contains music from: ""XO TOUR Llif3 (Originally Performed by Lil Uzi Vert) [Karaoke Instrumental Version]""",6.978232425504278e+18,Charlie,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7082132506950028038.mp3,https://sf77-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/d38e05338cf3da79e2e8e7888a4f9ea1.json,False,False,Hit The Button Karaoke,XO TOUR Llif3 (Originally Performed by Lil Uzi Vert) [Karaoke Instrumental Version],original sound - charilefilms (Contains music from: XO TOUR Llif3 (Originally Performed by Lil Uzi Vert) [Karaoke Instrumental Version] - Hit The Button Karaoke),"Contains music from: ""XO TOUR Llif3 (Originally Performed by Lil Uzi Vert) [Karaoke Instrumental Version]""",[],0,0,Ireland,#cokezero #fatloss,0,0,0,0,0,0,0,0,0,0
0,IE,7077593543400836357,1647880661,SLAG😇,6643323260618571782,Abz 😝🖕🤩👍💖😆🤤💔,,0,False,https://www.tiktok.com/@abbigailgurl/video/7077593543400836357?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7077593543400836357&source=h5_m,197168,177,58,0,31373,7069838263825091334,7069838263825091334,72,7069838263825091334,original sound - isaac.h.p.karaoke.backup,Isaac H.P Karaoke Backup,6.974166285799556e+18,Isaac H.P Karaoke Backup,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7069838266316393222.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/0b6f1176e03d706b72fe10dd02097090.json,False,False,,,,,[],0,0,Ireland,,0,0,0,0,0,0,0,0,0,0
1,GB,7103577817023089925,1653930597, ,6732492130042201093,IzzyTaffs,No bio yet,0,False,https://www.tiktok.com/@izzytaffs/video/7103577817023089925?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103577817023089925&source=h5_m,405069,409,317,596,70424,7103577801768389382,7103577801768389382,72,7103577801768389382,original sound - izzytaffs,IzzyTaffs,6.732492130042201e+18,IzzyTaffs,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103577824719981318.mp3,,False,False,,,,,[],0,0,Ireland,,0,0,0,0,0,0,0,0,0,0
2,GB,7102849269161364742,1653760969,Definition of TEAM 😍 #justiceforjohnnydepp #johnnydepp #closingstatement #benchew #camillevasquez,6574109802149904389,Jojo,,0,False,https://www.tiktok.com/@raluuuup/video/7102849269161364742?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102849269161364742&source=h5_m,5884820,1901,867,50,352433,7076766123529636635,7076766123529636635,24,7076766123529636635,7 years latch sped up,legis adrie,6.964647262917068e+18,legis adrie,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7076766116609411867.mp3,https://sf77-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ed50abf24cd42ed6430ad69e7a170a98.json,False,False,,,,,[],0,0,Ireland,#justiceforjohnnydepp #johnnydepp #closingstatement #benchew #camillevasquez,0,0,0,0,0,0,0,1,0,0
3,IE,7102907265983712517,1653774472,bad hair days for the both of us?,7004922617250874374,sofia!,marshall mathers marry me… please PLEASE PLEASE,0,False,https://www.tiktok.com/@stopfindingthisitsaspam/video/7102907265983712517?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102907265983712517&source=h5_m,251612,124,57,89,28073,7096996538555190022,7096996538555190022,72,7096996538555190022,original sound - lewisrobbo17,Lewis Robbo Robinson,6.774480233485288e+18,Lewis Robbo Robinson,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7096996567202138885.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/95b913e74759359fbd551a19655621e7.json,False,False,,,,,[],0,0,Ireland,,0,0,0,0,0,0,0,0,0,0
4,GB,7103544964797189382,1653922948,#cex #game,6736055566202438661,DLM,dean@uglymngmt.com,0,False,https://www.tiktok.com/@deanlm/video/7103544964797189382?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103544964797189382&source=h5_m,284963,237,252,422,30881,7103544966639127301,7103544966639127301,72,7103544966639127301,original sound - deanlm,DLM,6.736055566202439e+18,DLM,False,True,https://sf77-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103544965858429702.mp3,,False,False,,,,,[],0,0,Ireland,#cex #game,0,0,0,0,0,0,0,0,0,0
5,IE,7099880832902384902,1653069826,Last one got deleted DON’T look at my following,6719558864272229382,Ben Williams,Code “BuddyCup” for 30% off the best training plans in the game👇🏼,0,False,https://www.tiktok.com/@benwilliams066/video/7099880832902384902?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099880832902384902&source=h5_m,765754,2326,1044,1068,58279,7088097553489906438,7088097553489906438,72,7088097553489906438,original sound - lord..xp (Contains music from: Look At Me (Freestyle) - Bammbreezy Montana),"Contains music from: ""Look At Me (Freestyle)""",6.9263255066499e+18,LORD.xp,False,True,https://sf77-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7088097541383850758.mp3,https://sf77-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/1dc2a1e2eda86a9b346b4e9884a709b0.json,False,False,Bammbreezy Montana,Look At Me (Freestyle),original sound - lord..xp (Contains music from: Look At Me (Freestyle) - Bammbreezy Montana),"Contains music from: ""Look At Me (Freestyle)""",[],0,0,Ireland,,0,0,0,0,0,0,0,0,0,0
6,GB,7099734603988077829,1653035784,Please help ! #holiday#fyp#primark@Primark,6938355251586794502,Jos_unfiltered_life,"Live your best unfiltered life 👑
joanna@agncybyinfluence.com📩",0,False,https://www.tiktok.com/@jos_unfiltered_life/video/7099734603988077829?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099734603988077829&source=h5_m,3448463,162,213,238,359882,7099734554579176197,7099734554579176197,72,7099734554579176197,original sound - jos_unfiltered_life,Jos_unfiltered_life,6.938355251586794e+18,Jos_unfiltered_life,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7099734579073813253.mp3,,False,False,,,,,[],0,0,Ireland,#holiday#fyp#primark@Primark,0,0,0,1,0,0,0,0,0,0
7,GB,7097541993328446725,1652525273,Everyone had a horse girl in their year 🐴 #fyp #comedy #podcast #behzingasgirlfriend #faithlouisak #gkbarry,7059430494053024774,Saving Grace,A truly outrageous podcast hosted by @GKBarry,0,False,https://www.tiktok.com/@savinggracepod/video/7097541993328446725?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097541993328446725&source=h5_m,2133470,484,308,431,255434,7097541972612696837,7097541972612696837,72,7097541972612696837,original sound - savinggracepod,Saving Grace,7.059430494053025e+18,Saving Grace,False,True,https://sf77-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7097541978958596869.mp3,,False,False,,,,,[],0,0,Ireland,#fyp #comedy #podcast #behzingasgirlfriend #faithlouisak #gkbarry,0,0,0,1,0,0,0,0,0,0
0,US,7098397698126056746,1652724506,"Brodie isn’t afraid of escalators anymore but he still likes to be carried. Also, they’re dangerous for long coats. #dogdad #10MillionAdoptions #goldendoodle #escalator #humandog #petsoftiktok",6730985128817263622,Brodie The Goldendoodle,"Just a Dude’s Dood 🐻🤙🏾
⬇️ The products we use! ⬇️",0,False,https://www.tiktok.com/@brodiethatdood/video/7098397698126056746?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098397698126056746&source=h5_m,28187280,20692,78967,45912,2891974,222332352038060032,222332352038060032,10009,222332352038060032,Am I Wrong,Nico & Vinz,,,True,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/7a5ae4075a664c87bf2a7c8c4add403f,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/c45d6c1e34414afeb074e0af6348f5ac,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '916432920', 'external_song_key': 'apple_song_id'}]",0,0,Ireland,#dogdad #10MillionAdoptions #goldendoodle #escalator #humandog #petsoftiktok,0,0,0,0,0,0,0,0,0,0
