,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_amberheard,hash_australia,hash_foryou,hash_foryoupage,hash_funny,hash_fyp,hash_fypシ,hash_johnnydepp,hash_trending,hash_viral
0,AU,7088628238183927042,1650449877,#fyp #jakeyboo🤪🥺❤️💓💞,7087837187387360258,nobodywillfindthisone,"insta is lara.summerville
i’m 15",0,False,https://www.tiktok.com/@badstorytimes1/video/7088628238183927042?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7088628238183927042&source=h5_m,1509328,3668,2492,2878,235438,7088628231020055297,7088628231020055297,72,7088628231020055297,original sound - badstorytimes1,nobodywillfindthisone,7.08783718738736e+18,nobodywillfindthisone,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7088628210119789313.mp3,,False,False,,,,,[],0,0,Australia,#fyp #jakeyboo🤪🥺❤️💓💞,0,0,0,0,0,1,0,0,0,0
1,AU,7099720987779812610,1653032609,"Some men just want to watch the world burn, you know who you are #gymtok #gymbro #tallpeopleproblems #shortking #shortkings",6760963262797857797,Ged,"20 | Bris, QLD
Nat/ty 🔱",0,False,https://www.tiktok.com/@thatguyged/video/7099720987779812610?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099720987779812610&source=h5_m,1447386,1434,911,652,171532,7020886040017636102,7020886040017636102,72,7020886040017636102,original sound - nhobseries,Noble House of Black,6.879801770740549e+18,Noble House of Black,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7020886086331271941.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/abf9a41cf96649fdaf8f65c045c3eed1.json,False,False,,,,,[],0,0,Australia,#gymtok #gymbro #tallpeopleproblems #shortking #shortkings,0,0,0,0,0,0,0,0,0,0
2,US,7093659389441101102,1651621282,My mom.,6815622497988494341,Arianna Hailey,"🤍12.3 million!🤍
📩 Arianna@greenlightgroup.co
Follow my Instagram for a kiss😘",0,False,https://www.tiktok.com/@itsari.aleise/video/7093659389441101102?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093659389441101102&source=h5_m,4596429,2808,2062,2470,777666,7088358055724714757,7088358055724714757,72,7088358055724714757,original sound - fknlettuce,rach,6.702493406490412e+18,rach,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7088358065090628357.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ce452ca3a30108b9f36edf81182b6534.json,False,False,,,,,[],0,0,Australia,,0,0,0,0,0,0,0,0,0,0
3,AU,7102578784666275074,1653697993,Love ya @lizzo 😠🫶🏽 #foryoupage #OscarsAtHome #xybca #oldlady #unlockmylikes #blowthisup #karen #fyp,6774909927070499846,leanne🖤,"Grumpy Comedian 
My son’s acc - @maitlandrd",0,False,https://www.tiktok.com/@grumpy_leanne/video/7102578784666275074?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102578784666275074&source=h5_m,283333,289,67,253,39777,7086201843973621762,7086201843973621762,10033,7086201843973621762,About Damn Time,Lizzo,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/2e6ee9db9c1440ec88118a965e786985,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/aec693bde8934a379590f77837e0bb52,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1619162353', 'external_song_key': 'apple_song_id'}]",0,0,Australia,#foryoupage #OscarsAtHome #xybca #oldlady #unlockmylikes #blowthisup #karen #fyp,0,0,0,1,0,1,0,0,0,0
4,AU,7092310555767213313,1651307233,Omg! Has anyone seen a koala do this before? #fyp #animals #koala #baby,7044051338577085442,Sol,"Hi, I’m Solly! 
Australian/Canadian 
On a mission to put a smile on your face",0,False,https://www.tiktok.com/@hellosolly/video/7092310555767213313?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092310555767213313&source=h5_m,9214316,6795,10135,4778,1774298,6819464820111182597,6819464820111182597,72,6819464820111182597,original sound - charlie.mosey,Charlie Mosey,6.764925423925577e+18,Charlie Mosey,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/136207489eab8de9abed5162a446696f.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/9df170e93ce089806544b3363a10b5fd.json,False,False,,,,,[],0,0,Australia,#fyp #animals #koala #baby,0,0,0,0,0,1,0,0,0,0
5,GB,7098008944009858309,1652633992,#trending #dontibaba,7096839327892063237,dontibaba1backup,spread the love not the hate ❤,0,False,https://www.tiktok.com/@dontibaba1backup/video/7098008944009858309?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098008944009858309&source=h5_m,11995547,3149,1804,2517,871124,6833934234948732941,6833934234948732941,25,6833934234948732941,Get You The Moon,Kina,,,True,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/7bb0a250720f4a7f9be6a49574d518ab,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/9bf325e67b3a484893faf2054ca32e51,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1470415871', 'external_song_key': 'apple_song_id'}]",0,0,Australia,#trending #dontibaba,0,0,0,0,0,0,0,0,1,0
6,AU,7097473437119171842,1652509311,What's your favourite day of the week? #WeekendVibes #viral #fyp  #nathanslawnsandgardens #lawn,6809002666644243462,nathanslawnsandgarde,"Email nathanslawnsandgardens@hotmail.com 
Instagram in Bio ⬆️
YouTube in Bio ▶⬆️",0,False,https://www.tiktok.com/@nathanslawnsandgardens/video/7097473437119171842?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097473437119171842&source=h5_m,180953,13,7,24,7819,6886182844943698694,6886182844943698694,72,6886182844943698694,Sensual Days of the week,Stefan Johnson,6.78792035813032e+18,Stefan Johnson,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6886182719731043078.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/392e590bb0f99862f818b8bf48382f44.json,False,False,,,,,[],0,0,Australia,#WeekendVibes #viral #fyp #nathanslawnsandgardens #lawn,0,0,0,0,0,1,0,0,0,1
7,AU,7070783425212452097,1646295057,Do they make more money if they scan items faster ? #fyp #aldi #foryoupage,6744925613942932486,Tom & Kell,"Gold Coast 🏝
Follow our new Instagram ⬆️
Like for a tbh",0,False,https://www.tiktok.com/@reesebros/video/7070783425212452097?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7070783425212452097&source=h5_m,1348030,981,5698,3063,45115,7061325687696739119,7061325687696739119,72,7061325687696739119,Beep (Contains music from: BeepBeepatheGroceryStore - Wolfpinkie),"Contains music from: ""BeepBeepatheGroceryStore""",6.802632985117459e+18,Andrew🥴,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7061325693023652654.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/562b4cae4fd08b14146b2bcde17ff208.json,False,False,Wolfpinkie,BeepBeepatheGroceryStore,Beep (Contains music from: BeepBeepatheGroceryStore - Wolfpinkie),"Contains music from: ""BeepBeepatheGroceryStore""",[],0,0,Australia,#fyp #aldi #foryoupage,0,0,0,1,0,1,0,0,0,0
0,AU,7102639756000890113,1653712189, ,6752729530099024901,Kato,🃏♠️ ♣️ Thank you for 17k ♥️♦️🃏,0,False,https://m.tiktok.com/v/7102639756000890113.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102639756000890113&source=h5_m,2782315,6149,7493,10960,190907,7102639723406953217,7102639723406953217,72,7102639723406953217,original sound - quavonte_zingleton1 (Contains music from: Yummy - Justin Bieber),"Contains music from: ""Yummy""",6.752729530099025e+18,Kato,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7102639680042060546.mp3,,False,False,Justin Bieber,Yummy,original sound - quavonte_zingleton1 (Contains music from: Yummy - Justin Bieber),"Contains music from: ""Yummy""",[],0,0,Australia,,0,0,0,0,0,0,0,0,0,0
1,AU,7097095452687863041,1652421304,tiktok this is a bikini I swear,225981984131600384,kylaaa bree 🦋,"this is a joke, I’m a joke this is all just a Fkn jawkk 🐷",0,False,https://m.tiktok.com/v/7097095452687863041.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097095452687863041&source=h5_m,53846,71,42,227,7954,7056172233282128687,7056172233282128687,72,7056172233282128687,original sound - sp33dupaudios,<Mia3,7.040289450095986e+18,<Mia3,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7056172255415667503.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/9ea466ec67ce67c319b44fc2b0c68e9a.json,False,False,,,,,[],0,0,Australia,,0,0,0,0,0,0,0,0,0,0
2,UA,7102064589201771782,1653578275,💗🥵🫂,7098355200033129477,JUSTICE FOR JOHNNY DEPP💫❤️‍🩹,"*TEAM JOHNNY D.*

/🫙Where is my jar of dirt?🤨/

“justice for Johnny Depp!”✨",0,False,https://m.tiktok.com/v/7102064589201771782.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102064589201771782&source=h5_m,1194462,877,1123,1627,138489,6694738465155713025,6694738465155713025,10033,6694738465155713025,I Kissed a Boy - 2011 Version,Jupither,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/a6f22b1dd1fa44de97d9fa899e4849c9,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/b997de0c2e9f4c989a5b89edfc7ccdc4,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '419880527', 'external_song_key': 'apple_song_id'}]",0,0,Australia,,0,0,0,0,0,0,0,0,0,0
3,CA,7082509355156851973,1649025213,"Mini tournament with Vancouver islanders, everyone is massive #armwrestling #armwrestler #fyp #asian",114341697156710400,John Luo,"Armwrestler | Vancouver 🇨🇦
165lbs | 20 y/o
Code LUO5 - Ezreal Armwrestling ⬇️",0,False,https://m.tiktok.com/v/7082509355156851973.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7082509355156851973&source=h5_m,22693503,14341,10808,7277,2693136,7023061500537341954,7023061500537341954,10033,7023061500537341954,Enemy - from the series Arcane League of Legends,Imagine Dragons & JID & Arcane & League Of Legends,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/760815f4dd6843d496e74093f2b012f8,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/0327cafb16fe49b6945dd0e77050d270,False,True,,,,,[],0,0,Australia,#armwrestling #armwrestler #fyp #asian,0,0,0,0,0,1,0,0,0,0
4,AU,7093719006560914689,1651635163, ,6613133224779792389,🔱Henry.Cao,🦍,0,False,https://m.tiktok.com/v/7093719006560914689.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093719006560914689&source=h5_m,9251112,18079,29448,43681,1726808,7093718994431068929,7093718994431068929,72,7093718994431068929,original sound - henry.ca0,🔱Henry.Cao,6.613133224779792e+18,🔱Henry.Cao,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7093717993930181377.mp3,,False,False,,,,,[],0,0,Australia,,0,0,0,0,0,0,0,0,0,0
5,AU,7101449514849996033,1653435065,Do sashimi next Kenny 🥒 #kendalljenner #cucumberchallenge #kardashians #comedy #fyp,6754297809879221254,Lans and Mads,"...MORNING!!
Lans and Mads x
🇦🇺 comedy girls
Insta: @sketchshe",0,False,https://m.tiktok.com/v/7101449514849996033.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101449514849996033&source=h5_m,1123627,420,591,191,15479,7053030946328726318,7053030946328726318,72,7053030946328726318,original sound - models20210,Models2021,6.729474187548886e+18,Models2021,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7053031030088928047.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/536ff271afdd7d289a37095a4fab60dc.json,False,False,,,,,[],0,0,Australia,#kendalljenner #cucumberchallenge #kardashians #comedy #fyp,0,0,0,0,0,1,0,0,0,0
6,GB,7102849269161364742,1653760969,Definition of TEAM 😍 #justiceforjohnnydepp #johnnydepp #closingstatement #benchew #camillevasquez,6574109802149904389,Jojo,,0,False,https://m.tiktok.com/v/7102849269161364742.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102849269161364742&source=h5_m,5019433,1731,780,32,313457,7076766123529636635,7076766123529636635,24,7076766123529636635,7 years latch sped up,legis adrie,6.964647262917068e+18,legis adrie,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7076766116609411867.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ed50abf24cd42ed6430ad69e7a170a98.json,False,False,,,,,[],0,0,Australia,#justiceforjohnnydepp #johnnydepp #closingstatement #benchew #camillevasquez,0,0,0,0,0,0,0,1,0,0
7,GB,7102322543888977157,1653638333,Cigarette magic revealed #oscarowen #trick #magicrevealed #magictutorial #tricks #agt,6640381613530316805,Oscar Owen,👇🏻LEARN MAGIC IN JUST 14 DAYS👇🏻,0,False,https://m.tiktok.com/v/7102322543888977157.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102322543888977157&source=h5_m,4321349,288,523,262,214641,7102322481570089733,7102322481570089733,72,7102322481570089733,original sound - oscar.owen (Contains music from: Mysterious Forest - Howard Harper-Barnes),"Contains music from: ""Mysterious Forest""",6.640381613530317e+18,Oscar Owen,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102322492345879302.mp3,,False,False,Howard Harper-Barnes,Mysterious Forest,original sound - oscar.owen (Contains music from: Mysterious Forest - Howard Harper-Barnes),"Contains music from: ""Mysterious Forest""",[],0,0,Australia,#oscarowen #trick #magicrevealed #magictutorial #tricks #agt,0,0,0,0,0,0,0,0,0,0
0,AU,7080850499620048129,1648638981,the cutest boy ✨ #cutestpetontheinternet #cute #puppy #dachshund #dachshundsoftiktok #dog #sausagedog #wienerdog #fyp #foryou,7041856493172360193,Wiener 🐶,"hi I’m Wiener, the long-haired, miniature dachshund 🌭",0,False,https://m.tiktok.com/v/7080850499620048129.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7080850499620048129&source=h5_m,2905502,2074,5863,4127,282406,6984813800163691270,6984813800163691270,72,6984813800163691270,Cutest Pet on the Internet,Alto Key | Indie Artist,6.664293368816337e+18,Alto Key | Indie Artist,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6984813900369824518.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/9209db37314122b461390fae13e5f219.json,False,False,,,,,[],0,0,Australia,#cutestpetontheinternet #cute #puppy #dachshund #dachshundsoftiktok #dog #sausagedog #wienerdog #fyp #foryou,0,0,1,0,0,1,0,0,0,0
1,CA,7102937646690831622,1653781547,"You did so great mama the tear was small don’t worry you’re a rockstar! Your baby is healthy and your husband he’s admitted in one of the triage bed, he passed out right after seeing your baby’s head. #nurse #nursesoftiktok #nurselife #nurses #nursehumor #nursing #nursingstudent #nursingschool #nursetiktok #nurseproblems #medicalhumor #medicaltiktok #hospitallife #hospitaltiktoks #healthcareworker #healthcarehumor #cna #travelnurse #ernurse #laboranddelivery #pregnancy #MomsofTikTok #fyp #foryou",1311438,Jc Dela Cruz,"No real patient/work scenario
Ads/Collab DM me
📩: nurse.johnnbiz@outlook.com",0,False,https://m.tiktok.com/v/7102937646690831622.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102937646690831622&source=h5_m,4714356,2531,5636,3990,798428,7097369291179313966,7097369291179313966,72,7097369291179313966,original sound - ranvision_official (Contains music from: Merry-Go-Round of Life - from 'Howl's Moving Castle' - Joe Hisaishi),"Contains music from: ""Merry-Go-Round of Life - from 'Howl's Moving Castle'""",7.019492714535388e+18,Ranvision Official,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7097369315401304878.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/efabb1b2f3f3289b25d4a828602f7ccf.json,False,False,Joe Hisaishi,Merry-Go-Round of Life - from 'Howl's Moving Castle',original sound - ranvision_official (Contains music from: Merry-Go-Round of Life - from 'Howl's Moving Castle' - Joe Hisaishi),"Contains music from: ""Merry-Go-Round of Life - from 'Howl's Moving Castle'""",[],0,0,Australia,#nurse #nursesoftiktok #nurselife #nurses #nursehumor #nursing #nursingstudent #nursingschool #nursetiktok #nurseproblems #medicalhumor #medicaltiktok #hospitallife #hospitaltiktoks #healthcareworker #healthcarehumor #cna #travelnurse #ernurse #laboranddelivery #pregnancy #MomsofTikTok #fyp #foryou,0,0,1,0,0,1,0,0,0,0
2,GB,7102547662943112453,1653690747,"everyone’s on stranger things 4, I’m here w/ obiwan 🫶 #obiwankenobi",6857931499309728774,svbriqa,"my account is dt @itstvdtime
wanda apologist
🫶",0,False,https://m.tiktok.com/v/7102547662943112453.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102547662943112453&source=h5_m,9408406,11639,12956,59988,2543398,7102547646019111685,7102547646019111685,72,7102547646019111685,original sound - svbriqa,svbriqa,6.857931499309729e+18,svbriqa,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102547652474063622.mp3,,False,False,,,,,[],0,0,Australia,#obiwankenobi,0,0,0,0,0,0,0,0,0,0
3,GB,7102501828402695429,1653680074,My baby girl 👧💞#teenmum#youngmumma #babygirl,7047856242597184517,Rikaya Gairns,New account 😚,0,False,https://m.tiktok.com/v/7102501828402695429.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102501828402695429&source=h5_m,3322112,1562,749,27,243727,7060989249314671366,7060989249314671366,72,7060989249314671366,original sound - _a.tqraxiia (Contains music from: Guitar - Sono),"Contains music from: ""Guitar""",6.669309426468241e+18,.,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7060989279878875910.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/49a692970222820d64fd9d447c68c9f9.json,False,False,Sono,Guitar,original sound - _a.tqraxiia (Contains music from: Guitar - Sono),"Contains music from: ""Guitar""",[],0,0,Australia,#teenmum#youngmumma #babygirl,0,0,0,0,0,0,0,0,0,0
4,US,7091309645696060718,1651074191,DOJA!!! Nothing makes me happier than someone saying they’ve seen the GlamBOT #glambotbts #livefrome #dojacat #colewalliser #grammys,6718880849721377797,Cole Walliser,"The CEO of Slo-Mo. Curls & Smiles. 
Hyte Computer Giveaway!👇",0,False,https://m.tiktok.com/v/7091309645696060718.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091309645696060718&source=h5_m,10718781,3528,1768,4954,2383634,7091309576888372010,7091309576888372010,72,7091309576888372010,original sound - colewalliser,Cole Walliser,6.718880849721378e+18,Cole Walliser,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7091309638892882734.mp3,,False,False,,,,,[],0,0,Australia,#glambotbts #livefrome #dojacat #colewalliser #grammys,0,0,0,0,0,0,0,0,0,0
5,AU,7101140842911419649,1653363196, ,6703719678059250693,Maria,Follow me on my Insta  for my 🔗 @mariareko,0,False,https://m.tiktok.com/v/7101140842911419649.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101140842911419649&source=h5_m,4610500,5889,40252,33475,503941,7074912610465975067,7074912610465975067,10036,7074912610465975067,Se Acabo (feat. Method Man) (Remix),The Beatnuts,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/83967713a929434f8e9e7f3d45d7abc1,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/90a3d2fbdde743b1ad7a58b5ba95f3d9,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '322754275', 'external_song_key': 'apple_song_id'}]",0,0,Australia,,0,0,0,0,0,0,0,0,0,0
6,GB,7102784362344647942,1653745856,"Stop messing, get the mayo innnn 🔥",6753959825464247302,Tyler Butt,"Nutrition Coach
Grab the Recipe Vault👇🏻 📚🔥
Apply for coaching",0,False,https://m.tiktok.com/v/7102784362344647942.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102784362344647942&source=h5_m,3809560,1065,8565,4700,134032,7102784349740796677,7102784349740796677,72,7102784349740796677,original sound - tylerbutt_eats,Tyler Butt,6.753959825464247e+18,Tyler Butt,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102784357408000773.mp3,,False,False,,,,,[],0,0,Australia,,0,0,0,0,0,0,0,0,0,0
7,GB,7102885824877890821,1653769480,Johnny Depp doesn't hold back on insulting Amber Heard 😂 #johnnydepp #AmberTurd #amberheard #deppvheard #flappyfishmarket,6660836115568066565,A Guy,Just a guy,0,False,https://m.tiktok.com/v/7102885824877890821.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102885824877890821&source=h5_m,601445,1043,3242,1962,22353,7102885848974494470,7102885848974494470,72,7102885848974494470,original sound - just_a_guy2022,A Guy,6.660836115568067e+18,A Guy,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102885847569795845.mp3,,False,False,,,,,[],0,0,Australia,#johnnydepp #AmberTurd #amberheard #deppvheard #flappyfishmarket,1,0,0,0,0,0,0,1,0,0
0,AU,7097356083412421890,1652481988,#stitch with @sn00py13 I just don’t care because I love it #kfc #johnnydepp #amberheard #fyp #funny,6541221176000123904,Joseph H,"‘Comedy’ videos :)
710k?
16
Biz: Talent@neuralle.com
Brisbane",0,False,https://www.tiktok.com/@joe.ham/video/7097356083412421890?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097356083412421890&source=h5_m,77407,156,72,172,21578,7097356072456932097,7097356072456932097,72,7097356072456932097,original sound - joe.ham,Joseph H,6.541221176000124e+18,Joseph H,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7097355935944952578.mp3,,False,False,,,,,[],0,0,Australia,#stitch #kfc #johnnydepp #amberheard #fyp #funny,1,0,0,0,1,1,0,1,0,0
1,AU,7071813580995267841,1646534911, ,6859192996698899461,🚙Gypsy Girl🛵,"❤️here for a laugh😁
🌻Don’t take me serious
📍Broome/Derby 
🧚🏽‍♂🏳️‍🌈🚌
⚫️🟡🔴",0,False,https://www.tiktok.com/@neljai/video/7071813580995267841?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7071813580995267841&source=h5_m,2174982,101,2773,29,37382,7013518724460219141,7013518724460219141,72,7013518724460219141,original sound - stxr.froggi (Contains music from: Idc Inc. - Hope Wright),"Contains music from: ""Idc Inc.""",6.988490973971154e+18,Judez🐸✨💀,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7013518841431673606.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/9f2b9cf350ee52f7013de3ad940d3e12.json,False,False,Hope Wright,Idc Inc.,original sound - stxr.froggi (Contains music from: Idc Inc. - Hope Wright),"Contains music from: ""Idc Inc.""",[],0,0,Australia,,0,0,0,0,0,0,0,0,0,0
2,AU,7092608360905739522,1651376573,Reply to @zoro_der_echte #blackwidow #marvel #cosplay #natasharomanoff #fy #viral,6540868923162771461,Em,💓FOLLOW  @emxllouise4,0,False,https://www.tiktok.com/@emxllouise2/video/7092608360905739522?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092608360905739522&source=h5_m,3650794,1010,402,2392,198235,6958113895605111557,6958113895605111557,72,6958113895605111557,original sound - mia_co_girl,Tik Toker,6.941660606576559e+18,Tik Toker,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6958113974076312325.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/3c4cb70a70a10c5b958b7babdc9ceef4.json,False,False,,,,,[],0,0,Australia,#blackwidow #marvel #cosplay #natasharomanoff #fy #viral,0,0,0,0,0,0,0,0,0,1
3,GB,7095396312186785030,1652025691,She’s getting fed up with these now!😅🤣 #fyp #foryou #satisfying #colourful #icecream #icerolls #pannice #viral #whatsyourfavorite #trending #public,6794926662720177157,pan_n_ice,❗️👇🏻GRAB YOUR DIY KITS BELOW👇🏻❗️,0,False,https://www.tiktok.com/@pan.n.ice/video/7095396312186785030?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095396312186785030&source=h5_m,26747015,4564,2985,7776,3586253,7069691129188321282,7069691129188321282,10033,7069691129188321282,Baby,Aitch & Ashanti,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/491197d28bae49a18598f6b6a7f61b0c,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/bf0a6bcb83c94b27a9d5ebebc78ac967,True,True,,,,,[],0,0,Australia,#fyp #foryou #satisfying #colourful #icecream #icerolls #pannice #viral #whatsyourfavorite #trending #public,0,0,1,0,0,1,0,0,1,1
4,AU,7092600176270904578,1651374671,This guy needs a promotion #maccas #lol #drivethru #memes #fyp,7042100429975913477,Evan G,Funny clips on the internet! I Take no credit in these videos I do not own them,0,False,https://www.tiktok.com/@the_afterparty_life/video/7092600176270904578?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092600176270904578&source=h5_m,1579601,777,1154,2313,112375,7092600151801989890,7092600151801989890,72,7092600151801989890,original sound - the_afterparty_life (Contains music from: Whateva - Scarti),"Contains music from: ""Whateva""",7.042100429975913e+18,Evan G,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7092600119501196034.mp3,,False,False,Scarti,Whateva,original sound - the_afterparty_life (Contains music from: Whateva - Scarti),"Contains music from: ""Whateva""",[],0,0,Australia,#maccas #lol #drivethru #memes #fyp,0,0,0,0,0,1,0,0,0,0
